return_id,order_item_id,return_date,return_reason,refund_amount
87,1069,2025-07-17,Wrong Item,4676.45
88,1073,2026-08-19,Not as Described,2620.56
89,1080,2026-09-01,Wrong Item,1190.79
90,1083,2025-07-18,Size Issue,336.49
91,1100,2026-06-23,Not as Described,8548.51
92,1102,2026-06-24,Size Issue,6558.61
93,1113,2025-11-16,Size Issue,4985.14
94,1126,2025-02-08,Defective,2472.77
95,1155,2025-03-11,Not as Described,4601.19
96,1173,2026-08-11,Late Delivery,7162.16
97,1181,2025-08-30,Defective,11151.59
98,1209,2026-06-28,Wrong Item,2854.66
99,1216,2025-04-14,Defective,8007.66
100,1231,2024-11-01,Wrong Item,7921.8
101,1253,2026-01-21,Wrong Item,6327.8
102,1295,2026-02-16,No Longer Needed,5533.11
103,1320,2025-08-28,Size Issue,3937.67
104,1335,2024-12-30,No Longer Needed,5428.35
105,1374,2025-07-05,No Longer Needed,1311.34
106,1409,2026-05-08,Wrong Item,4202.75
107,1412,2026-03-19,Defective,2259.77
108,1429,2025-02-21,Wrong Item,2675.85
109,1441,2024-10-09,Not as Described,1081.34
110,1457,2026-05-07,Wrong Item,4646.26
111,1466,2026-01-09,Late Delivery,2145.08
112,1474,2025-01-11,Size Issue,13411.5
113,1478,2025-04-10,Wrong Item,858.11
114,1492,2025-06-23,Wrong Item,14441.47
115,1513,2025-06-13,Wrong Item,2175.15
116,1521,2026-09-01,Not as Described,5640.59
117,1522,2026-09-01,Not as Described,2411.3
118,1524,2025-02-11,Defective,4641.55
119,1529,2026-04-30,No Longer Needed,2433.0
120,1551,2025-11-21,Not as Described,4815.18
121,1564,2024-10-18,Late Delivery,899.77
122,1599,2024-10-19,Defective,6713.26
123,1606,2025-04-20,Wrong Item,5734.94
124,1619,2026-01-15,Not as Described,617.52
125,1620,2026-01-03,Size Issue,4741.63
126,1635,2025-10-10,No Longer Needed,928.67
127,1645,2026-08-16,Wrong Item,1159.99
128,1659,2024-10-09,Wrong Item,4747.71
129,1661,2024-12-27,Size Issue,6477.28
130,1669,2026-08-30,Not as Described,12600.63
131,1689,2026-01-15,Defective,5992.53
132,1692,2026-08-23,Size Issue,5701.75
133,1721,2025-08-22,Size Issue,7539.48
134,1725,2025-10-10,Not as Described,13595.3
135,1735,2025-06-28,No Longer Needed,2291.63
136,1738,2024-11-30,Late Delivery,13578.24
137,1741,2026-05-29,Late Delivery,6514.85
138,1763,2024-09-29,Not as Described,2855.43
139,1769,2026-01-07,Size Issue,3875.95
140,1780,2025-01-04,Late Delivery,2875.57
141,1792,2025-10-17,Defective,2879.06
142,1806,2025-07-02,Not as Described,2646.16
143,1810,2024-10-05,Defective,3894.36
144,1821,2025-07-25,No Longer Needed,4953.01
145,1840,2026-09-01,No Longer Needed,3671.62
146,1841,2026-09-01,No Longer Needed,5403.75
147,1865,2026-01-16,Defective,4819.5
148,1878,2024-10-12,Defective,727.54
149,1886,2025-12-17,Defective,4092.08
150,1896,2024-10-02,No Longer Needed,8079.75
151,1926,2026-02-07,Late Delivery,2247.87
152,1931,2026-06-09,Not as Described,3989.77
153,1932,2025-01-12,Defective,1249.47
154,1937,2025-01-17,Size Issue,5882.57
155,1952,2026-04-08,Wrong Item,2886.59
156,1959,2026-07-31,No Longer Needed,4196.78
157,1960,2025-03-09,Late Delivery,5708.88
158,1970,2024-11-26,Wrong Item,8277.47
159,2004,2026-02-16,Wrong Item,7654.8
160,2013,2025-10-13,Not as Described,5693.41
161,2023,2025-06-09,Not as Described,10970.2
162,2043,2025-07-01,Late Delivery,4242.55
163,2059,2025-11-01,No Longer Needed,5603.62
164,2062,2026-04-24,Not as Described,3923.69
165,2095,2025-04-22,Defective,824.59
166,2105,2024-10-31,Late Delivery,9570.44
167,2106,2024-10-29,Late Delivery,13432.23
168,2108,2025-12-13,Wrong Item,2431.54
169,2115,2025-12-14,Not as Described,5632.56
170,2121,2025-03-06,Late Delivery,4595.97
171,2148,2024-09-11,Size Issue,5320.03
172,2166,2025-06-10,No Longer Needed,2259.06
173,2174,2025-09-28,Late Delivery,2327.93
174,2179,2026-03-05,Defective,6683.41
175,2181,2026-02-09,Not as Described,4966.19
176,2182,2026-02-12,Not as Described,3456.06
177,2190,2025-08-04,Late Delivery,1259.16
178,2200,2025-04-29,Defective,3984.57
179,2232,2025-08-17,Wrong Item,2394.26
180,2238,2026-02-14,Defective,2470.07
181,2252,2025-08-29,Wrong Item,4258.75
182,2258,2025-09-12,Size Issue,3546.57
183,2260,2025-01-07,Wrong Item,3799.57
184,2279,2026-01-04,Not as Described,3726.8
185,2286,2025-09-14,Size Issue,6389.72
186,2333,2026-04-19,Size Issue,3782.51
187,2336,2025-05-19,Wrong Item,4759.88
188,2357,2026-05-02,Late Delivery,7604.84
189,2369,2026-06-17,Defective,2243.28
190,2374,2025-05-20,Wrong Item,5781.04
191,2382,2026-01-04,Late Delivery,2350.89
192,2391,2025-03-26,Defective,2652.48
193,2396,2026-08-25,No Longer Needed,2688.32
194,2402,2026-08-27,Defective,1259.29
195,2403,2026-02-27,Wrong Item,4868.78
196,2407,2026-04-29,No Longer Needed,9626.2
197,2444,2024-11-27,Not as Described,6202.23
198,2488,2026-08-31,Not as Described,1681.56
199,2489,2025-03-31,Wrong Item,2939.22
200,2509,2025-07-12,No Longer Needed,642.29
201,2526,2025-12-03,Defective,2630.65
202,2530,2025-05-05,Defective,1208.8
203,2532,2025-02-22,Size Issue,2646.24
204,2538,2024-12-19,Size Issue,1977.49
205,2561,2026-03-03,Defective,1481.77
206,2564,2026-05-19,Defective,4471.74
207,2577,2026-04-15,Not as Described,5631.49
208,2593,2026-02-20,Defective,7403.91
209,2628,2025-03-24,Defective,7997.94
210,2655,2024-12-05,Not as Described,1285.0
211,2683,2025-09-30,Late Delivery,1275.99
212,2684,2026-05-26,Size Issue,5397.3
213,2685,2026-05-25,Wrong Item,9905.0
214,2688,2025-04-02,Wrong Item,3675.45
215,2691,2024-12-09,No Longer Needed,3110.39
216,2696,2024-12-24,Wrong Item,2540.97
217,2702,2026-09-01,Defective,7181.62
218,2710,2026-07-28,Late Delivery,6172.72
219,2715,2026-04-26,Wrong Item,4996.62
220,2770,2025-03-01,No Longer Needed,1281.51
221,2771,2026-04-25,No Longer Needed,3774.23
222,2782,2026-05-14,No Longer Needed,1611.09
223,2788,2025-08-09,Wrong Item,2694.87
224,2792,2025-02-02,Defective,5604.81
225,2819,2025-06-25,No Longer Needed,1199.97
226,2827,2025-02-27,Late Delivery,2434.23
227,2855,2025-01-05,Defective,9913.9
228,2898,2025-01-27,Defective,8021.6
229,2899,2025-01-22,Late Delivery,2661.66
230,2926,2026-05-11,Defective,2612.26
231,2934,2025-03-18,Not as Described,1255.5
232,2935,2025-03-12,Late Delivery,7272.18
233,2943,2026-08-16,No Longer Needed,9050.1
234,2946,2024-10-19,No Longer Needed,3323.45
235,2948,2026-04-05,Not as Described,2749.72
236,2951,2026-09-01,Size Issue,3485.91
237,2961,2025-03-26,Late Delivery,2885.11
238,2973,2024-11-23,No Longer Needed,2537.96
239,2988,2025-06-06,Size Issue,15090.17
240,2999,2024-11-15,Defective,1396.5
241,3004,2025-02-24,No Longer Needed,8584.94
242,3034,2025-03-07,Size Issue,4486.54
243,3057,2026-06-23,Not as Described,4568.71
244,3069,2026-06-23,Not as Described,1130.05
245,3073,2026-09-01,Not as Described,4606.87
246,3090,2026-06-29,Size Issue,2147.77
247,3092,2024-09-12,Not as Described,9364.64
248,3095,2025-05-21,Late Delivery,7611.75
249,3098,2026-02-28,Late Delivery,1407.71
250,3108,2024-11-05,Wrong Item,5373.0
251,3111,2024-10-11,Late Delivery,927.7
252,3116,2026-07-25,Wrong Item,2376.82
253,3130,2024-11-30,Not as Described,1744.46
254,3146,2026-04-08,Defective,6794.44
255,3148,2025-01-01,Defective,14860.54
256,3168,2024-10-17,Size Issue,1469.93
257,3187,2024-10-23,Late Delivery,2536.92
258,3192,2026-02-25,Defective,5510.43
259,3206,2024-09-19,Late Delivery,6867.76
260,3208,2024-12-04,Not as Described,2402.19
261,3219,2025-04-20,Late Delivery,3488.62
262,3221,2024-12-06,Wrong Item,8055.45
263,3231,2026-03-26,Late Delivery,2118.57
264,3237,2024-12-04,Wrong Item,4125.84
265,3244,2024-11-22,Late Delivery,9057.45
266,3257,2026-01-25,Defective,5787.94
267,3259,2026-04-15,Size Issue,10027.15
268,3280,2025-10-25,Size Issue,7187.13
269,3285,2025-09-23,Defective,3899.17
270,3315,2025-10-16,Size Issue,5267.7
271,3317,2025-07-05,Size Issue,956.96
272,3319,2024-12-17,Late Delivery,3376.49
273,3324,2025-10-03,Size Issue,1850.93
274,3325,2026-03-05,Late Delivery,3942.6
275,3329,2026-03-06,Size Issue,2395.8
276,3333,2025-09-02,Size Issue,7918.56
277,3342,2025-08-05,Wrong Item,954.53
278,3346,2025-02-08,Size Issue,2522.34
279,3350,2025-02-11,Late Delivery,6385.23
280,3373,2025-09-03,Wrong Item,8027.1
281,3385,2026-07-27,Defective,1907.81
282,3416,2025-09-24,No Longer Needed,3615.1
283,3425,2025-02-08,No Longer Needed,3896.2
284,3429,2026-03-16,Wrong Item,4127.42
285,3462,2025-08-13,No Longer Needed,1473.99
286,3465,2026-08-31,No Longer Needed,5961.84
287,3488,2024-12-17,Size Issue,1401.23
288,3491,2025-07-21,Wrong Item,3613.91
289,3494,2025-02-23,Size Issue,8351.14
290,3520,2024-10-29,Size Issue,2633.61
291,3527,2025-03-16,Defective,1144.58
292,3537,2024-10-28,Wrong Item,3393.63
293,3544,2024-09-22,Not as Described,14887.92
294,3546,2024-09-26,Not as Described,10070.95
295,3561,2025-12-23,Defective,13274.41
296,3567,2025-08-04,No Longer Needed,2549.85
297,3582,2026-08-28,Size Issue,441.68
298,3604,2025-06-15,Size Issue,5387.04
299,3615,2025-02-14,Not as Described,6787.24
300,3628,2025-09-18,Late Delivery,9896.89
301,3632,2025-12-04,No Longer Needed,3607.65
302,3642,2026-06-10,Wrong Item,2131.94
303,3656,2025-07-31,Not as Described,3636.54
304,3686,2026-04-23,Late Delivery,1525.31
305,3690,2026-03-21,No Longer Needed,1292.24
306,3692,2025-01-09,Not as Described,1286.55
307,3701,2024-11-27,Wrong Item,5693.61
308,3711,2025-09-30,Not as Described,2931.15
309,3721,2025-10-22,No Longer Needed,7131.24
310,3723,2025-12-13,No Longer Needed,4700.85
311,3743,2025-05-10,Defective,2817.09
312,3744,2024-10-01,Wrong Item,2142.45
313,3756,2026-05-16,Size Issue,7020.93
314,3770,2025-03-20,Late Delivery,1435.58
315,3773,2025-07-27,No Longer Needed,6221.93
316,3799,2025-08-05,Late Delivery,5413.17
317,3800,2024-10-26,Not as Described,8073.55
318,3801,2024-10-28,No Longer Needed,2259.63
319,3832,2025-07-30,No Longer Needed,5942.49
320,3841,2026-05-02,Size Issue,2624.65
321,3850,2024-12-16,Late Delivery,4612.78
322,3851,2024-12-08,Size Issue,4105.2
323,3863,2024-12-09,Late Delivery,1260.06
