payment_id,payment_method,payment_status
180,Wallet,Completed
181,UPI,Completed
182,Wallet,Completed
183,UPI,Refunded
184,Net Banking,Completed
185,Wallet,Completed
186,Debit Card,Completed
187,Net Banking,Completed
188,Credit Card,Completed
189,Wallet,Completed
190,Net Banking,Completed
191,Credit Card,Completed
192,Credit Card,Completed
193,Cash on Delivery,Refunded
194,Net Banking,Completed
195,Net Banking,Completed
196,Cash on Delivery,Completed
197,Credit Card,Completed
198,Wallet,Completed
199,Cash on Delivery,Completed
200,Cash on Delivery,Completed
201,Net Banking,Completed
202,Credit Card,Completed
203,Cash on Delivery,Completed
204,Net Banking,Completed
205,Debit Card,Completed
206,UPI,Completed
207,Net Banking,Completed
208,Wallet,Completed
209,Cash on Delivery,Completed
210,Net Banking,Completed
211,Cash on Delivery,Completed
212,Debit Card,Completed
213,Wallet,Completed
214,UPI,Completed
215,Cash on Delivery,Completed
216,Cash on Delivery,Completed
217,Cash on Delivery,Completed
218,Net Banking,Completed
219,Cash on Delivery,Completed
220,Credit Card,Completed
221,Cash on Delivery,Completed
222,UPI,Completed
223,Net Banking,Completed
224,Credit Card,Completed
225,Net Banking,Completed
226,Credit Card,Completed
227,Wallet,Failed
228,Debit Card,Completed
229,Debit Card,Completed
230,Net Banking,Completed
231,UPI,Completed
232,Cash on Delivery,Completed
233,Net Banking,Completed
234,Credit Card,Completed
235,UPI,Completed
236,Debit Card,Completed
237,Debit Card,Completed
238,Wallet,Completed
239,Wallet,Completed
240,Credit Card,Completed
241,UPI,Refunded
242,Cash on Delivery,Refunded
243,Cash on Delivery,Refunded
244,Cash on Delivery,Completed
245,Cash on Delivery,Completed
246,Debit Card,Refunded
247,Credit Card,Completed
248,Debit Card,Failed
249,Net Banking,Failed
250,Cash on Delivery,Completed
251,Wallet,Completed
252,Debit Card,Completed
253,Wallet,Completed
254,Wallet,Completed
255,Debit Card,Completed
256,Debit Card,Completed
257,Net Banking,Refunded
258,Net Banking,Completed
259,Debit Card,Completed
260,Credit Card,Completed
261,Wallet,Completed
262,Wallet,Failed
263,Wallet,Completed
264,Credit Card,Completed
265,Cash on Delivery,Completed
266,Net Banking,Completed
267,Cash on Delivery,Completed
268,Debit Card,Completed
269,Cash on Delivery,Completed
270,Debit Card,Completed
271,Wallet,Completed
272,Debit Card,Completed
273,Net Banking,Completed
274,UPI,Refunded
275,Debit Card,Completed
276,Wallet,Completed
277,Credit Card,Completed
278,Wallet,Completed
279,Net Banking,Completed
280,Debit Card,Completed
281,UPI,Completed
282,Credit Card,Completed
283,Debit Card,Completed
284,Net Banking,Completed
285,Credit Card,Completed
286,Wallet,Completed
287,UPI,Completed
288,Debit Card,Completed
289,Wallet,Completed
290,Credit Card,Completed
291,Cash on Delivery,Completed
292,Debit Card,Completed
293,Wallet,Completed
294,Wallet,Completed
295,Net Banking,Completed
296,UPI,Completed
297,Debit Card,Completed
298,Cash on Delivery,Completed
299,UPI,Completed
300,UPI,Completed
301,Wallet,Completed
302,Credit Card,Completed
303,Wallet,Completed
304,Cash on Delivery,Completed
305,Cash on Delivery,Completed
306,Debit Card,Failed
307,Wallet,Completed
308,UPI,Completed
309,Credit Card,Completed
310,Wallet,Completed
311,Wallet,Completed
312,Debit Card,Completed
313,Cash on Delivery,Completed
314,Wallet,Failed
315,Credit Card,Completed
316,Net Banking,Completed
317,Debit Card,Completed
318,Debit Card,Completed
319,Wallet,Completed
320,Cash on Delivery,Completed
321,Net Banking,Completed
322,Credit Card,Completed
323,UPI,Completed
324,UPI,Completed
325,Net Banking,Refunded
326,UPI,Completed
327,Net Banking,Completed
328,Credit Card,Completed
329,UPI,Completed
330,Net Banking,Completed
331,Wallet,Completed
332,Wallet,Completed
333,Wallet,Completed
334,Wallet,Completed
335,Credit Card,Completed
336,UPI,Completed
337,Net Banking,Completed
338,Credit Card,Completed
339,Net Banking,Completed
340,Cash on Delivery,Completed
341,Net Banking,Completed
342,Debit Card,Completed
343,Wallet,Completed
344,Credit Card,Completed
345,Net Banking,Completed
346,Credit Card,Completed
347,Net Banking,Completed
348,Wallet,Completed
349,Debit Card,Completed
350,Net Banking,Completed
351,Debit Card,Completed
352,Credit Card,Completed
353,UPI,Completed
354,Credit Card,Completed
355,Wallet,Completed
356,Net Banking,Completed
357,Wallet,Completed
358,Net Banking,Completed
359,Credit Card,Refunded
360,Net Banking,Completed
361,UPI,Completed
362,Credit Card,Completed
363,Wallet,Completed
364,UPI,Completed
365,Debit Card,Refunded
366,Debit Card,Completed
367,Credit Card,Failed
368,UPI,Refunded
369,UPI,Completed
370,UPI,Completed
371,Wallet,Completed
372,Net Banking,Completed
373,Cash on Delivery,Completed
374,Wallet,Completed
375,Credit Card,Completed
376,Net Banking,Completed
377,Cash on Delivery,Completed
378,Cash on Delivery,Completed
379,Debit Card,Completed
380,Wallet,Completed
381,Wallet,Completed
382,Debit Card,Completed
383,Credit Card,Completed
384,Wallet,Completed
385,UPI,Completed
386,Wallet,Completed
387,Wallet,Completed
388,Credit Card,Completed
389,Cash on Delivery,Completed
390,Cash on Delivery,Completed
391,Cash on Delivery,Failed
392,Net Banking,Completed
393,UPI,Completed
394,UPI,Completed
395,Wallet,Completed
396,Debit Card,Refunded
397,Cash on Delivery,Completed
398,Credit Card,Completed
399,Debit Card,Completed
400,Wallet,Completed
401,Debit Card,Completed
402,Cash on Delivery,Refunded
403,Cash on Delivery,Completed
404,Net Banking,Completed
405,Cash on Delivery,Completed
406,UPI,Completed
407,Net Banking,Completed
408,Debit Card,Completed
409,UPI,Refunded
410,Wallet,Completed
411,Wallet,Completed
412,UPI,Refunded
413,Debit Card,Refunded
414,Credit Card,Completed
415,Cash on Delivery,Completed
416,Debit Card,Completed
417,Credit Card,Completed
418,Debit Card,Completed
419,Debit Card,Completed
420,Net Banking,Completed
421,Debit Card,Completed
422,Net Banking,Completed
423,UPI,Completed
424,Cash on Delivery,Completed
425,Wallet,Completed
426,Cash on Delivery,Completed
427,Wallet,Completed
428,UPI,Completed
429,Credit Card,Completed
430,Debit Card,Completed
431,Net Banking,Completed
432,Cash on Delivery,Completed
433,Wallet,Completed
434,Cash on Delivery,Completed
435,Debit Card,Completed
436,Debit Card,Completed
437,Net Banking,Completed
438,Wallet,Completed
439,Credit Card,Completed
440,UPI,Completed
441,Cash on Delivery,Completed
442,Cash on Delivery,Failed
443,Credit Card,Completed
444,Debit Card,Completed
445,Credit Card,Completed
446,Debit Card,Refunded
447,UPI,Failed
448,Debit Card,Completed
449,Cash on Delivery,Completed
450,Cash on Delivery,Completed
451,Credit Card,Completed
452,Debit Card,Completed
453,Net Banking,Completed
454,UPI,Refunded
455,Debit Card,Completed
456,Cash on Delivery,Completed
457,UPI,Completed
458,Net Banking,Completed
459,Wallet,Completed
460,Wallet,Completed
461,Wallet,Completed
462,Wallet,Completed
463,Wallet,Completed
464,Wallet,Completed
465,Wallet,Failed
466,Wallet,Completed
467,Wallet,Completed
468,Credit Card,Completed
469,Wallet,Completed
470,Cash on Delivery,Failed
471,Credit Card,Completed
472,UPI,Failed
473,Cash on Delivery,Completed
474,Credit Card,Completed
475,Cash on Delivery,Completed
476,UPI,Failed
477,Wallet,Completed
478,UPI,Completed
479,Wallet,Failed
480,Credit Card,Completed
481,Cash on Delivery,Completed
482,Debit Card,Completed
483,Debit Card,Completed
484,Wallet,Completed
485,Net Banking,Completed
486,Wallet,Refunded
487,UPI,Completed
488,Net Banking,Completed
489,Net Banking,Refunded
490,UPI,Completed
491,Net Banking,Completed
492,Wallet,Completed
493,Credit Card,Completed
494,Wallet,Completed
495,Credit Card,Completed
496,Credit Card,Completed
497,Debit Card,Completed
498,UPI,Completed
499,Net Banking,Failed
500,UPI,Failed
501,UPI,Completed
502,Wallet,Completed
503,Wallet,Completed
504,Cash on Delivery,Completed
505,Cash on Delivery,Completed
506,Wallet,Completed
507,Cash on Delivery,Refunded
508,UPI,Completed
509,Debit Card,Refunded
510,Debit Card,Completed
511,Debit Card,Completed
512,Wallet,Completed
513,Cash on Delivery,Refunded
514,Debit Card,Completed
515,Credit Card,Completed
516,Net Banking,Completed
517,UPI,Completed
518,Debit Card,Completed
519,Wallet,Failed
520,Net Banking,Completed
521,Cash on Delivery,Completed
522,Debit Card,Completed
523,UPI,Failed
524,Wallet,Completed
525,Cash on Delivery,Completed
526,Net Banking,Completed
527,Net Banking,Completed
528,Debit Card,Completed
529,Cash on Delivery,Completed
530,Debit Card,Completed
531,Debit Card,Completed
532,Net Banking,Failed
533,Cash on Delivery,Failed
534,Wallet,Completed
535,Net Banking,Completed
536,Net Banking,Refunded
537,Net Banking,Completed
538,Wallet,Completed
539,Credit Card,Completed
540,Credit Card,Completed
541,Cash on Delivery,Refunded
542,Cash on Delivery,Completed
543,Debit Card,Completed
544,UPI,Completed
545,Net Banking,Completed
546,Cash on Delivery,Completed
547,Credit Card,Completed
548,Cash on Delivery,Completed
549,Net Banking,Completed
550,UPI,Completed
551,UPI,Completed
552,UPI,Completed
553,Net Banking,Completed
554,Debit Card,Completed
555,Wallet,Completed
556,Credit Card,Completed
557,Net Banking,Completed
558,Debit Card,Completed
559,Net Banking,Completed
560,Net Banking,Completed
561,Cash on Delivery,Completed
562,Cash on Delivery,Completed
563,Net Banking,Completed
564,Cash on Delivery,Completed
565,Debit Card,Completed
566,Wallet,Completed
567,Credit Card,Completed
568,UPI,Completed
569,Credit Card,Refunded
570,UPI,Completed
571,Credit Card,Completed
572,Credit Card,Completed
573,Debit Card,Completed
574,Net Banking,Completed
575,Debit Card,Completed
576,Cash on Delivery,Refunded
577,UPI,Completed
578,Net Banking,Refunded
579,Debit Card,Completed
580,Credit Card,Completed
581,Wallet,Completed
582,Credit Card,Failed
583,Credit Card,Completed
584,Net Banking,Completed
585,Net Banking,Completed
586,Debit Card,Completed
587,Net Banking,Completed
588,Credit Card,Completed
589,Credit Card,Completed
590,Wallet,Completed
591,Wallet,Completed
592,Debit Card,Completed
593,UPI,Completed
594,Cash on Delivery,Completed
595,Net Banking,Completed
596,Wallet,Completed
597,Debit Card,Completed
598,Credit Card,Completed
599,Debit Card,Completed
600,Cash on Delivery,Completed
601,Credit Card,Completed
602,Cash on Delivery,Completed
603,Net Banking,Completed
604,Cash on Delivery,Completed
605,Debit Card,Completed
606,Net Banking,Completed
607,Cash on Delivery,Completed
608,Credit Card,Completed
609,Wallet,Completed
610,Credit Card,Completed
611,Debit Card,Completed
612,Cash on Delivery,Completed
613,Credit Card,Completed
614,Net Banking,Completed
615,Net Banking,Completed
616,Net Banking,Refunded
617,Debit Card,Completed
618,Credit Card,Completed
619,Debit Card,Completed
620,Debit Card,Completed
621,UPI,Completed
622,Credit Card,Completed
623,Cash on Delivery,Completed
624,UPI,Completed
625,Cash on Delivery,Completed
626,Net Banking,Completed
627,Cash on Delivery,Completed
628,Debit Card,Completed
629,UPI,Completed
630,Wallet,Completed
631,Debit Card,Completed
632,UPI,Completed
633,Net Banking,Completed
634,Net Banking,Completed
635,UPI,Completed
636,UPI,Completed
637,Net Banking,Completed
638,Debit Card,Completed
639,UPI,Completed
640,Credit Card,Completed
641,Wallet,Completed
642,UPI,Completed
643,UPI,Completed
644,Wallet,Completed
645,Net Banking,Completed
646,UPI,Completed
647,Debit Card,Completed
648,Wallet,Completed
649,Wallet,Completed
650,Wallet,Completed
651,Debit Card,Completed
652,Cash on Delivery,Completed
653,Credit Card,Completed
654,UPI,Completed
655,Net Banking,Completed
656,Net Banking,Completed
657,Cash on Delivery,Completed
658,Net Banking,Completed
659,Net Banking,Completed
660,Wallet,Completed
661,Wallet,Completed
662,UPI,Failed
663,Net Banking,Completed
664,Debit Card,Completed
665,Cash on Delivery,Completed
666,Net Banking,Completed
667,Wallet,Completed
668,Cash on Delivery,Completed
669,Credit Card,Completed
670,Cash on Delivery,Completed
671,Cash on Delivery,Completed
672,Cash on Delivery,Completed
673,Net Banking,Completed
674,Net Banking,Completed
675,Debit Card,Completed
676,Credit Card,Failed
677,Net Banking,Completed
678,Net Banking,Completed
679,Cash on Delivery,Failed
680,Credit Card,Completed
681,Wallet,Completed
682,Credit Card,Completed
683,Net Banking,Completed
684,Wallet,Completed
685,UPI,Refunded
686,UPI,Completed
687,Wallet,Completed
688,Net Banking,Completed
689,UPI,Completed
690,Wallet,Completed
691,Debit Card,Completed
692,Wallet,Completed
693,Net Banking,Completed
694,Net Banking,Completed
695,UPI,Completed
696,Net Banking,Completed
697,Wallet,Completed
698,Cash on Delivery,Completed
699,UPI,Completed
700,Credit Card,Completed
701,Net Banking,Completed
702,Wallet,Completed
703,Debit Card,Completed
704,UPI,Completed
705,Cash on Delivery,Completed
706,Net Banking,Failed
707,Net Banking,Completed
708,UPI,Completed
709,Cash on Delivery,Completed
710,UPI,Completed
711,Debit Card,Completed
712,Credit Card,Completed
713,Wallet,Completed
714,Debit Card,Completed
715,Wallet,Completed
716,Net Banking,Refunded
717,UPI,Completed
718,Cash on Delivery,Failed
719,Cash on Delivery,Completed
720,Wallet,Completed
721,Net Banking,Refunded
722,UPI,Completed
723,Cash on Delivery,Completed
724,Wallet,Completed
725,UPI,Completed
726,Cash on Delivery,Completed
727,Net Banking,Completed
728,Wallet,Completed
729,Debit Card,Completed
730,Debit Card,Completed
731,Wallet,Completed
732,Debit Card,Completed
733,Net Banking,Completed
734,Wallet,Completed
735,Cash on Delivery,Completed
736,UPI,Completed
737,Debit Card,Completed
738,Debit Card,Completed
739,Net Banking,Completed
740,UPI,Completed
741,Net Banking,Completed
742,Net Banking,Completed
743,Debit Card,Completed
744,UPI,Completed
745,Net Banking,Completed
746,Credit Card,Completed
747,Debit Card,Completed
748,UPI,Completed
749,Wallet,Refunded
750,Credit Card,Completed
751,Debit Card,Completed
752,UPI,Refunded
753,Credit Card,Completed
754,Net Banking,Completed
755,Net Banking,Completed
756,UPI,Completed
757,Debit Card,Completed
758,Wallet,Completed
759,Credit Card,Completed
760,UPI,Completed
761,Debit Card,Completed
762,UPI,Completed
763,UPI,Completed
764,UPI,Completed
765,Wallet,Completed
766,UPI,Completed
767,Credit Card,Completed
768,Credit Card,Completed
769,UPI,Completed
770,Cash on Delivery,Completed
771,Credit Card,Completed
772,UPI,Completed
773,Cash on Delivery,Completed
774,Debit Card,Completed
775,Debit Card,Completed
776,Debit Card,Completed
777,Debit Card,Completed
778,Cash on Delivery,Completed
779,UPI,Completed
780,Cash on Delivery,Completed
781,Debit Card,Completed
782,UPI,Completed
783,Cash on Delivery,Completed
784,Cash on Delivery,Completed
785,Wallet,Completed
786,UPI,Refunded
787,Cash on Delivery,Completed
788,Debit Card,Completed
789,Credit Card,Completed
790,Net Banking,Refunded
791,Credit Card,Completed
792,Cash on Delivery,Completed
793,Credit Card,Completed
794,UPI,Completed
795,Cash on Delivery,Completed
796,UPI,Completed
797,Net Banking,Refunded
798,Net Banking,Completed
799,Wallet,Completed
800,Wallet,Refunded
801,Cash on Delivery,Completed
802,Credit Card,Completed
803,Credit Card,Completed
804,Cash on Delivery,Completed
805,UPI,Completed
806,Cash on Delivery,Completed
807,Credit Card,Refunded
808,Wallet,Refunded
809,Debit Card,Completed
810,Wallet,Completed
811,Wallet,Failed
812,Debit Card,Completed
813,Net Banking,Completed
814,UPI,Refunded
815,Debit Card,Completed
816,Credit Card,Completed
817,Credit Card,Completed
818,Debit Card,Completed
819,Net Banking,Completed
820,Wallet,Completed
821,Debit Card,Completed
822,Cash on Delivery,Completed
823,UPI,Completed
824,Credit Card,Completed
825,Credit Card,Completed
826,Wallet,Refunded
827,Debit Card,Completed
828,Credit Card,Completed
829,Wallet,Completed
830,Credit Card,Completed
831,UPI,Completed
832,Debit Card,Completed
833,Cash on Delivery,Completed
834,Wallet,Completed
835,Cash on Delivery,Completed
836,Cash on Delivery,Completed
837,Wallet,Refunded
838,Debit Card,Completed
839,Net Banking,Completed
840,UPI,Completed
841,Credit Card,Completed
842,Debit Card,Completed
843,Cash on Delivery,Completed
844,Net Banking,Failed
845,Cash on Delivery,Completed
846,UPI,Completed
847,Net Banking,Completed
848,Debit Card,Failed
849,UPI,Completed
850,Credit Card,Completed
851,UPI,Completed
852,Debit Card,Completed
853,Debit Card,Completed
854,Credit Card,Completed
855,Debit Card,Completed
856,Debit Card,Completed
857,Wallet,Completed
858,UPI,Completed
859,Wallet,Completed
860,Cash on Delivery,Completed
861,Credit Card,Completed
862,UPI,Completed
863,Credit Card,Completed
864,Wallet,Completed
865,UPI,Completed
866,Cash on Delivery,Completed
867,UPI,Completed
868,Net Banking,Completed
869,Debit Card,Completed
870,Credit Card,Refunded
871,UPI,Completed
872,Cash on Delivery,Completed
873,Net Banking,Completed
874,UPI,Completed
875,Net Banking,Completed
876,UPI,Completed
877,Wallet,Completed
878,Cash on Delivery,Completed
879,Credit Card,Completed
880,Debit Card,Completed
881,Wallet,Completed
882,Net Banking,Completed
883,Debit Card,Completed
884,Wallet,Completed
885,Credit Card,Completed
886,Cash on Delivery,Completed
887,Net Banking,Completed
888,Wallet,Completed
889,Cash on Delivery,Completed
890,Net Banking,Completed
891,Wallet,Completed
892,Cash on Delivery,Completed
893,Wallet,Completed
894,Cash on Delivery,Completed
895,Net Banking,Completed
896,Credit Card,Completed
897,Credit Card,Completed
898,Cash on Delivery,Completed
899,Credit Card,Completed
900,Net Banking,Completed
901,Wallet,Completed
902,Cash on Delivery,Completed
903,Net Banking,Completed
904,UPI,Completed
905,Credit Card,Completed
906,Cash on Delivery,Completed
907,Credit Card,Completed
908,Cash on Delivery,Completed
909,Debit Card,Completed
910,Credit Card,Completed
911,Cash on Delivery,Completed
912,Debit Card,Completed
913,Net Banking,Completed
914,Net Banking,Completed
915,Credit Card,Completed
916,Net Banking,Completed
917,UPI,Completed
918,Credit Card,Refunded
919,Cash on Delivery,Completed
920,Credit Card,Completed
921,Debit Card,Completed
922,Wallet,Completed
923,Debit Card,Completed
924,UPI,Completed
925,Debit Card,Completed
926,UPI,Completed
927,Credit Card,Completed
928,Wallet,Completed
929,Credit Card,Completed
930,Net Banking,Completed
931,Credit Card,Completed
932,Net Banking,Completed
933,UPI,Failed
934,Credit Card,Completed
935,Wallet,Completed
936,UPI,Completed
937,Debit Card,Completed
938,Wallet,Refunded
939,Net Banking,Completed
940,Debit Card,Completed
941,Wallet,Completed
942,Cash on Delivery,Completed
943,Cash on Delivery,Completed
944,Credit Card,Completed
945,Credit Card,Completed
946,Wallet,Completed
947,Wallet,Completed
948,Wallet,Refunded
949,Debit Card,Completed
950,Credit Card,Completed
951,Net Banking,Completed
952,Credit Card,Completed
953,Cash on Delivery,Completed
954,Net Banking,Refunded
955,UPI,Completed
956,Wallet,Completed
957,Net Banking,Completed
958,Debit Card,Completed
959,Wallet,Completed
960,UPI,Completed
961,UPI,Completed
962,Credit Card,Completed
963,Net Banking,Completed
964,Wallet,Completed
965,Credit Card,Completed
966,UPI,Completed
967,Credit Card,Completed
968,Debit Card,Completed
969,Net Banking,Completed
970,Credit Card,Completed
971,UPI,Completed
972,Credit Card,Refunded
973,Wallet,Completed
974,Wallet,Completed
975,Wallet,Completed
976,Wallet,Completed
977,Credit Card,Completed
978,Net Banking,Completed
979,Net Banking,Completed
980,Debit Card,Completed
981,Cash on Delivery,Completed
982,Net Banking,Completed
983,Cash on Delivery,Completed
984,Wallet,Completed
985,Wallet,Completed
986,UPI,Completed
987,Net Banking,Completed
988,Net Banking,Completed
989,Debit Card,Completed
990,Net Banking,Completed
991,Credit Card,Completed
992,Cash on Delivery,Completed
993,Wallet,Completed
994,Debit Card,Completed
995,Wallet,Completed
996,UPI,Completed
997,UPI,Refunded
998,UPI,Completed
999,UPI,Refunded
1000,Debit Card,Completed
1001,Cash on Delivery,Completed
1002,Net Banking,Completed
1003,Net Banking,Completed
1004,Wallet,Completed
1005,Cash on Delivery,Completed
1006,Debit Card,Completed
1007,Cash on Delivery,Completed
1008,Net Banking,Completed
1009,Credit Card,Completed
1010,Debit Card,Completed
1011,Debit Card,Completed
1012,UPI,Failed
1013,Credit Card,Refunded
1014,Wallet,Completed
1015,Cash on Delivery,Completed
1016,Net Banking,Refunded
1017,Net Banking,Completed
1018,Wallet,Completed
1019,Cash on Delivery,Refunded
1020,Cash on Delivery,Completed
1021,UPI,Completed
1022,Credit Card,Completed
1023,Net Banking,Refunded
1024,Credit Card,Failed
1025,Net Banking,Refunded
1026,Cash on Delivery,Completed
1027,Net Banking,Completed
1028,UPI,Completed
1029,UPI,Completed
1030,Wallet,Completed
1031,Wallet,Completed
1032,Cash on Delivery,Completed
1033,UPI,Completed
1034,Credit Card,Completed
1035,Wallet,Completed
1036,Wallet,Completed
1037,Cash on Delivery,Completed
1038,Net Banking,Completed
1039,UPI,Completed
1040,Net Banking,Completed
1041,Cash on Delivery,Completed
1042,Cash on Delivery,Completed
1043,Net Banking,Completed
1044,Debit Card,Completed
1045,Cash on Delivery,Completed
1046,UPI,Completed
1047,Wallet,Completed
1048,Debit Card,Completed
1049,Cash on Delivery,Completed
1050,UPI,Completed
1051,Net Banking,Completed
1052,UPI,Completed
1053,Credit Card,Refunded
1054,Cash on Delivery,Completed
1055,Wallet,Failed
1056,Debit Card,Completed
1057,Net Banking,Completed
1058,Cash on Delivery,Completed
1059,Cash on Delivery,Completed
1060,Debit Card,Completed
1061,Wallet,Completed
1062,Credit Card,Failed
1063,Net Banking,Completed
1064,Credit Card,Completed
1065,Credit Card,Completed
1066,Debit Card,Completed
1067,Net Banking,Completed
1068,Net Banking,Completed
1069,Net Banking,Completed
1070,Credit Card,Completed
1071,Cash on Delivery,Completed
1072,Debit Card,Completed
1073,Wallet,Completed
1074,Debit Card,Completed
1075,Debit Card,Failed
1076,Wallet,Completed
1077,Credit Card,Completed
1078,Cash on Delivery,Completed
1079,Debit Card,Completed
1080,Wallet,Refunded
1081,Debit Card,Completed
1082,Credit Card,Completed
1083,Wallet,Completed
1084,Wallet,Completed
1085,Net Banking,Refunded
1086,Credit Card,Completed
1087,Credit Card,Completed
1088,Wallet,Completed
1089,Net Banking,Failed
1090,Net Banking,Completed
1091,Wallet,Refunded
1092,Cash on Delivery,Completed
1093,Credit Card,Completed
1094,Cash on Delivery,Completed
1095,Wallet,Completed
1096,UPI,Completed
1097,Wallet,Completed
1098,Credit Card,Completed
1099,UPI,Completed
1100,UPI,Completed
1101,Cash on Delivery,Completed
1102,Net Banking,Failed
1103,Cash on Delivery,Completed
1104,Credit Card,Refunded
1105,Wallet,Failed
1106,Net Banking,Completed
1107,Cash on Delivery,Completed
1108,Credit Card,Completed
1109,Credit Card,Completed
1110,UPI,Completed
1111,Wallet,Completed
1112,Credit Card,Completed
1113,Cash on Delivery,Completed
1114,Debit Card,Completed
1115,Cash on Delivery,Completed
1116,Cash on Delivery,Completed
1117,Credit Card,Completed
1118,Credit Card,Completed
1119,Cash on Delivery,Completed
1120,Credit Card,Completed
1121,Debit Card,Completed
1122,Cash on Delivery,Refunded
1123,Debit Card,Completed
1124,Credit Card,Completed
1125,Wallet,Completed
1126,Cash on Delivery,Completed
1127,Wallet,Completed
1128,Wallet,Completed
1129,UPI,Completed
1130,Credit Card,Completed
1131,UPI,Completed
1132,Debit Card,Completed
1133,Cash on Delivery,Completed
1134,Debit Card,Completed
1135,Net Banking,Completed
1136,Wallet,Completed
1137,Cash on Delivery,Completed
1138,Debit Card,Completed
1139,Wallet,Completed
1140,Wallet,Completed
1141,Credit Card,Completed
1142,Wallet,Completed
