inventory_id,product_id,store_id,stock_quantity,reorder_level,last_restock_date
84,11,4,66,15,2026-06-11
85,11,5,33,10,2026-06-22
86,11,6,29,15,2026-07-06
87,11,7,19,20,2026-08-22
88,11,8,60,20,2026-07-03
89,12,1,59,20,2026-06-27
90,12,2,45,20,2026-08-20
91,12,3,80,10,2026-07-25
92,12,4,64,15,2026-07-08
93,12,5,6,10,2026-06-21
94,12,6,33,20,2026-08-27
95,12,7,13,20,2026-08-15
96,12,8,34,20,2026-06-25
97,13,1,48,10,2026-08-10
98,13,2,24,20,2026-07-24
99,13,3,63,10,2026-06-25
100,13,4,53,20,2026-07-03
101,13,5,64,20,2026-07-06
102,13,6,77,15,2026-06-24
103,13,7,28,15,2026-06-26
104,13,8,58,15,2026-07-06
105,14,1,43,20,2026-08-08
106,14,2,40,10,2026-08-22
107,14,3,59,20,2026-08-11
108,14,4,60,20,2026-06-17
109,14,5,19,10,2026-07-12
110,14,6,33,10,2026-06-08
111,14,7,59,15,2026-06-06
112,14,8,71,10,2026-07-14
113,15,1,76,15,2026-08-03
114,15,2,15,15,2026-07-13
115,15,3,49,20,2026-08-28
116,15,4,12,20,2026-07-22
117,15,5,26,15,2026-08-09
118,15,6,66,20,2026-06-09
119,15,7,26,15,2026-08-15
120,15,8,17,20,2026-06-22
121,16,1,7,20,2026-07-07
122,16,2,54,10,2026-08-01
123,16,3,26,10,2026-07-25
124,16,4,27,20,2026-07-23
125,16,5,55,20,2026-06-05
126,16,6,32,10,2026-06-27
127,16,7,46,20,2026-07-11
128,16,8,14,20,2026-06-03
129,17,1,27,20,2026-07-13
130,17,2,49,20,2026-08-21
131,17,3,80,20,2026-08-04
132,17,4,64,10,2026-07-31
133,17,5,78,10,2026-08-19
134,17,6,50,15,2026-08-16
135,17,7,45,15,2026-06-11
136,17,8,77,20,2026-06-21
137,18,1,37,20,2026-07-30
138,18,2,39,20,2026-06-13
139,18,3,14,10,2026-08-03
140,18,4,32,15,2026-07-31
141,18,5,6,10,2026-09-01
142,18,6,72,15,2026-06-21
143,18,7,50,15,2026-08-25
144,18,8,64,15,2026-06-16
145,19,1,18,10,2026-07-19
146,19,2,76,15,2026-06-23
147,19,3,31,10,2026-06-06
148,19,4,6,20,2026-06-08
149,19,5,51,15,2026-07-04
150,19,6,9,20,2026-08-07
151,19,7,23,20,2026-06-24
152,19,8,37,20,2026-08-13
153,20,1,22,20,2026-08-01
154,20,2,33,10,2026-06-17
155,20,3,10,15,2026-08-29
156,20,4,71,20,2026-06-28
157,20,5,15,10,2026-08-23
158,20,6,61,10,2026-07-27
159,20,7,50,15,2026-08-11
160,20,8,49,10,2026-06-26
161,21,1,5,15,2026-06-20
162,21,2,5,10,2026-08-20
163,21,3,62,10,2026-08-12
164,21,4,42,10,2026-08-11
165,21,5,65,15,2026-08-28
166,21,6,13,15,2026-08-29
167,21,7,25,15,2026-08-20
168,21,8,60,10,2026-08-22
169,22,1,55,15,2026-06-11
170,22,2,25,20,2026-07-14
171,22,3,50,15,2026-06-14
172,22,4,7,10,2026-07-19
173,22,5,15,10,2026-08-07
174,22,6,19,20,2026-07-11
175,22,7,73,15,2026-09-01
176,22,8,21,10,2026-07-27
177,23,1,27,10,2026-08-30
178,23,2,11,10,2026-06-29
179,23,3,58,10,2026-07-30
180,23,4,22,10,2026-07-03
181,23,5,46,10,2026-06-22
182,23,6,72,10,2026-06-03
183,23,7,29,20,2026-07-07
184,23,8,23,20,2026-07-08
185,24,1,30,15,2026-07-15
186,24,2,31,20,2026-06-17
187,24,3,60,20,2026-06-21
188,24,4,76,10,2026-08-19
189,24,5,19,15,2026-09-01
190,24,6,55,10,2026-06-18
191,24,7,59,15,2026-08-20
192,24,8,54,20,2026-08-02
193,25,1,44,10,2026-07-04
194,25,2,31,10,2026-07-05
195,25,3,52,15,2026-07-05
196,25,4,13,10,2026-07-22
197,25,5,17,15,2026-07-23
198,25,6,38,20,2026-08-01
199,25,7,5,10,2026-08-29
200,25,8,74,15,2026-07-10
201,26,1,47,20,2026-06-06
202,26,2,17,15,2026-08-25
203,26,3,17,15,2026-07-25
204,26,4,43,10,2026-08-16
205,26,5,57,20,2026-06-24
206,26,6,71,10,2026-08-17
207,26,7,21,15,2026-06-15
208,26,8,20,15,2026-06-03
209,27,1,45,10,2026-08-25
210,27,2,57,20,2026-08-15
211,27,3,58,10,2026-06-27
212,27,4,20,15,2026-06-23
213,27,5,47,15,2026-06-23
214,27,6,36,20,2026-06-23
215,27,7,22,20,2026-08-12
216,27,8,11,15,2026-08-06
217,28,1,75,10,2026-07-31
218,28,2,61,20,2026-07-11
219,28,3,35,15,2026-07-07
220,28,4,12,20,2026-07-12
221,28,5,68,15,2026-06-25
222,28,6,48,20,2026-08-28
223,28,7,30,20,2026-07-19
224,28,8,10,10,2026-06-14
225,29,1,19,15,2026-06-23
226,29,2,46,15,2026-08-06
227,29,3,60,10,2026-08-01
228,29,4,62,20,2026-08-11
229,29,5,75,20,2026-06-25
230,29,6,56,10,2026-07-01
231,29,7,15,15,2026-07-08
232,29,8,73,20,2026-06-05
233,30,1,35,10,2026-07-05
234,30,2,50,20,2026-08-06
235,30,3,5,20,2026-08-17
236,30,4,65,10,2026-08-11
237,30,5,60,10,2026-07-12
238,30,6,21,10,2026-08-19
239,30,7,33,15,2026-08-31
240,30,8,47,20,2026-07-10
241,31,1,51,20,2026-06-26
242,31,2,10,15,2026-07-18
243,31,3,77,15,2026-07-29
244,31,4,46,15,2026-08-05
245,31,5,16,10,2026-08-29
246,31,6,29,15,2026-08-17
247,31,7,75,10,2026-06-05
248,31,8,44,15,2026-08-01
249,32,1,255,20,2024-09-10
250,32,2,263,20,2024-10-26
251,32,3,214,20,2024-09-21
252,32,4,176,20,2024-09-06
253,32,5,249,20,2024-09-01
254,32,6,290,20,2024-10-07
255,32,7,241,20,2024-10-04
256,32,8,296,20,2024-09-30
257,33,1,159,20,2024-10-22
258,33,2,177,20,2024-10-27
259,33,3,239,20,2024-10-13
260,33,4,192,20,2024-09-12
261,33,5,179,20,2024-10-20
262,33,6,202,20,2024-09-13
263,33,7,247,20,2024-10-16
264,33,8,283,20,2024-10-09
265,34,1,246,20,2024-09-04
266,34,2,151,20,2024-10-29
267,34,3,281,20,2024-09-13
268,34,4,219,20,2024-09-30
269,34,5,260,20,2024-10-14
270,34,6,168,20,2024-09-09
271,34,7,279,20,2024-10-11
272,34,8,297,20,2024-10-27
